municipality,state,city
Edgeworth borough,PA,Edgeworth
Edie CDP,PA,Edie
Edinboro borough,PA,Edinboro
Edwardsville borough,PA,Edwardsville
Effort CDP,PA,Effort
Egypt CDP,PA,Egypt
Ehrenfeld borough,PA,Ehrenfeld
Eighty Four CDP,PA,Eighty Four
Elberta CDP,PA,Elberta
Elco borough,PA,Elco
Elderton borough,PA,Elderton
Eldorado CDP,PA,Eldorado
Eldred borough,PA,Eldred
Elgin borough,PA,Elgin
Elim CDP,PA,Elim
Elizabeth borough,PA,Elizabeth
Elizabethtown borough,PA,Elizabethtown
Elizabethville borough,PA,Elizabethville
Elkins Park CDP,PA,Elkins Park
Elkland borough,PA,Elkland
Ellport borough,PA,Ellport
Ellsworth borough,PA,Ellsworth
Ellwood City borough,PA,Ellwood City
Elrama CDP,PA,Elrama
Elverson borough,PA,Elverson
Elysburg CDP,PA,Elysburg
Emerald Lakes CDP,PA,Emerald Lakes
Emigsville CDP,PA,Emigsville
Emlenton borough,PA,Emlenton
Emmaus borough,PA,Emmaus
Emporium borough,PA,Emporium
Emsworth borough,PA,Emsworth
Englewood CDP,PA,Englewood
Enhaut CDP,PA,Enhaut
Enlow CDP,PA,Enlow
Enola CDP,PA,Enola
Enon Valley borough,PA,Enon Valley
Ephrata borough,PA,Ephrata
Erie city,PA,Erie
Ernest borough,PA,Ernest
Espy CDP,PA,Espy
Etna borough,PA,Etna
Evansburg CDP,PA,Evansburg
Evans City borough,PA,Evans City
Everett borough,PA,Everett
Everson borough,PA,Everson
Exeter borough,PA,Exeter
Export borough,PA,Export
Exton CDP,PA,Exton
Eyers Grove CDP,PA,Eyers Grove
Factoryville borough,PA,Factoryville
Fairchance borough,PA,Fairchance
Fairdale CDP,PA,Fairdale
Fairfield borough,PA,Fairfield
Fairhope CDP,PA,Fairhope
Fairless Hills CDP,PA,Fairless Hills
Fairview borough,PA,Fairview
Fairview CDP,PA,Fairview
Fairview-Ferndale CDP,PA,Fairview-Ferndale
Falls Creek borough,PA,Falls Creek
Fallston borough,PA,Fallston
Falmouth CDP,PA,Falmouth
Farmersville CDP,PA,Farmersville
Farmington CDP,PA,Farmington
Farrell city,PA,Farrell
Farwell CDP,PA,Farwell
Fawn Grove borough,PA,Fawn Grove
Fawn Lake Forest CDP,PA,Fawn Lake Forest
Faxon CDP,PA,Faxon
Fayette City borough,PA,Fayette City
Fayetteville CDP,PA,Fayetteville
Feasterville CDP,PA,Feasterville
Fellsburg CDP,PA,Fellsburg
Felton borough,PA,Felton
Ferndale borough,PA,Ferndale
Fernville CDP,PA,Fernville
Finleyville borough,PA,Finleyville
Fisherville CDP,PA,Fisherville
Fivepointville CDP,PA,Fivepointville
Fleetwood borough,PA,Fleetwood
Flemington borough,PA,Flemington
Flourtown CDP,PA,Flourtown
Flying Hills CDP,PA,Flying Hills
Folcroft borough,PA,Folcroft
Folsom CDP,PA,Folsom
Foot of Ten CDP,PA,Foot of Ten
Force CDP,PA,Force
Ford City borough,PA,Ford City
Ford Cliff borough,PA,Ford Cliff
Forest City borough,PA,Forest City
Forest Hills borough,PA,Forest Hills
Forestville CDP,PA,Forestville
Forksville borough,PA,Forksville
Fort Fetter CDP,PA,Fort Fetter
Fort Indiantown Gap CDP,PA,Fort Indiantown Gap
Fort Loudon CDP,PA,Fort Loudon
Fort Washington CDP,PA,Fort Washington
Forty Fort borough,PA,Forty Fort
Foster Brook CDP,PA,Foster Brook
Fostoria CDP,PA,Fostoria
Foundryville CDP,PA,Foundryville
Fountain Hill borough,PA,Fountain Hill
Fountain Springs CDP,PA,Fountain Springs
Foxburg borough,PA,Foxburg
Fox Chapel borough,PA,Fox Chapel
Fox Chase CDP,PA,Fox Chase
Frackville borough,PA,Frackville
Frankfort Springs borough,PA,Frankfort Springs
Franklin borough,PA,Franklin
Franklin city,PA,Franklin
Franklin Forge CDP,PA,Franklin Forge
Franklin Park borough,PA,Franklin Park
Franklintown borough,PA,Franklintown
Frankstown CDP,PA,Frankstown
Frazer CDP,PA,Frazer
Fredericksburg CDP,PA,Fredericksburg
Fredericksburg CDP,PA,Fredericksburg
Fredericksburg CDP,PA,Fredericksburg
Fredericktown CDP,PA,Fredericktown
Fredonia borough,PA,Fredonia
Freeburg borough,PA,Freeburg
Freedom borough,PA,Freedom
Freeland borough,PA,Freeland
Freemansburg borough,PA,Freemansburg
Freeport borough,PA,Freeport
Friedens CDP,PA,Friedens
Friedensburg CDP,PA,Friedensburg
Friendsville borough,PA,Friendsville
Friesville CDP,PA,Friesville
Frisco CDP,PA,Frisco
Frizzleburg CDP,PA,Frizzleburg
Frystown CDP,PA,Frystown
Fullerton CDP,PA,Fullerton
Galeton borough,PA,Galeton
Gallitzin borough,PA,Gallitzin
Ganister CDP,PA,Ganister
Gap CDP,PA,Gap
Garden View CDP,PA,Garden View
Gardners CDP,PA,Gardners
Garrett borough,PA,Garrett
Gastonville CDP,PA,Gastonville
Geeseytown CDP,PA,Geeseytown
Geistown borough,PA,Geistown
Geneva CDP,PA,Geneva
Georgetown borough,PA,Georgetown
Georgetown CDP,PA,Georgetown
Georgetown CDP,PA,Georgetown
Gettysburg borough,PA,Gettysburg
Gibraltar CDP,PA,Gibraltar
Gibsonia CDP,PA,Gibsonia
Gilberton borough,PA,Gilberton
Gilbertsville CDP,PA,Gilbertsville
Girard borough,PA,Girard
Girardville borough,PA,Girardville
Glasgow borough,PA,Glasgow
Glassport borough,PA,Glassport
Glenburn CDP,PA,Glenburn
Glen Campbell borough,PA,Glen Campbell
Glendon borough,PA,Glendon
Glenfield borough,PA,Glenfield
Glen Hope borough,PA,Glen Hope
Glen Lyon CDP,PA,Glen Lyon
Glenmoore CDP,PA,Glenmoore
Glenolden borough,PA,Glenolden
Glen Osborne borough,PA,Glen Osborne
Glen Rock borough,PA,Glen Rock
Glenshaw CDP,PA,Glenshaw
Glenside CDP,PA,Glenside
Gold Key Lake CDP,PA,Gold Key Lake
Goldsboro borough,PA,Goldsboro
Goodville CDP,PA,Goodville
Gordon borough,PA,Gordon
Gordonville CDP,PA,Gordonville
Gouglersville CDP,PA,Gouglersville
Gouldsboro CDP,PA,Gouldsboro
Graceton CDP,PA,Graceton
Grampian borough,PA,Grampian
Grantley CDP,PA,Grantley
Granville CDP,PA,Granville
Grapeville CDP,PA,Grapeville
Grassflat CDP,PA,Grassflat
Gratz borough,PA,Gratz
Gray CDP,PA,Gray
Grazierville CDP,PA,Grazierville
Great Bend borough,PA,Great Bend
Greencastle borough,PA,Greencastle
Greenfields CDP,PA,Greenfields
Green Hills borough,PA,Green Hills
Green Lane borough,PA,Green Lane
Greenock CDP,PA,Greenock
Greensboro borough,PA,Greensboro
Greensburg city,PA,Greensburg
Greens Landing CDP,PA,Greens Landing
Green Tree borough,PA,Green Tree
Greenville borough,PA,Greenville
Greenwood CDP,PA,Greenwood
Grier City CDP,PA,Grier City
Grill CDP,PA,Grill
Grindstone CDP,PA,Grindstone
Grove City borough,PA,Grove City
Guilford CDP,PA,Guilford
Guys Mills CDP,PA,Guys Mills
Halfway House CDP,PA,Halfway House
Halifax borough,PA,Halifax
Hallam borough,PA,Hallam
Hallstead borough,PA,Hallstead
Hamburg borough,PA,Hamburg
Hamorton CDP,PA,Hamorton
Hampton CDP,PA,Hampton
Hannasville CDP,PA,Hannasville
Hanover borough,PA,Hanover
Harleigh CDP,PA,Harleigh
Harleysville CDP,PA,Harleysville
Harmonsburg CDP,PA,Harmonsburg
Harmony borough,PA,Harmony
Harrisburg city,PA,Harrisburg
Harrison City CDP,PA,Harrison City
Harrisville borough,PA,Harrisville
Hartleton borough,PA,Hartleton
Hartstown CDP,PA,Hartstown
Harveys Lake borough,PA,Harveys Lake
Harwick CDP,PA,Harwick
Hasson Heights CDP,PA,Hasson Heights
Hastings borough,PA,Hastings
Hatboro borough,PA,Hatboro
Hatfield borough,PA,Hatfield
Haverford College CDP,PA,Haverford College
Hawk Run CDP,PA,Hawk Run
Hawley borough,PA,Hawley
Hawthorn borough,PA,Hawthorn
Haysville borough,PA,Haysville
Hayti CDP,PA,Hayti
Hazen CDP,PA,Hazen
Hazleton city,PA,Hazleton
Hebron CDP,PA,Hebron
Heckscherville CDP,PA,Heckscherville
Hegins CDP,PA,Hegins
Heidelberg borough,PA,Heidelberg
Heidlersburg CDP,PA,Heidlersburg
Heilwood CDP,PA,Heilwood
Hellertown borough,PA,Hellertown
Hemlock Farms CDP,PA,Hemlock Farms
Hendersonville CDP,PA,Hendersonville
Henrietta CDP,PA,Henrietta
Hereford CDP,PA,Hereford
Herminie CDP,PA,Herminie
Hermitage city,PA,Hermitage
Herndon borough,PA,Herndon
Hershey CDP,PA,Hershey
Hickory CDP,PA,Hickory
Hickory Hills CDP,PA,Hickory Hills
Highland Park CDP,PA,Highland Park
Highspire borough,PA,Highspire
Hilldale CDP,PA,Hilldale
Hiller CDP,PA,Hiller
Hokendauqua CDP,PA,Hokendauqua
Holiday Pocono CDP,PA,Holiday Pocono
Hollidaysburg borough,PA,Hollidaysburg
Holters Crossing CDP,PA,Holters Crossing
Homeacre-Lyndora CDP,PA,Homeacre-Lyndora
Homer City borough,PA,Homer City
Homestead borough,PA,Homestead
Hometown CDP,PA,Hometown
Homewood borough,PA,Homewood
Homewood at Martinsburg CDP,PA,Homewood at Martinsburg
Honesdale borough,PA,Honesdale
Honey Brook borough,PA,Honey Brook
Hookstown borough,PA,Hookstown
Hooversville borough,PA,Hooversville
Hop Bottom borough,PA,Hop Bottom
Hopeland CDP,PA,Hopeland
Hopewell borough,PA,Hopewell
Hopwood CDP,PA,Hopwood
Horsham CDP,PA,Horsham
Hostetter CDP,PA,Hostetter
Houserville CDP,PA,Houserville
Houston borough,PA,Houston
Houtzdale borough,PA,Houtzdale
Howard borough,PA,Howard
Hublersburg CDP,PA,Hublersburg
Hudson CDP,PA,Hudson
Hughestown borough,PA,Hughestown
Hughesville borough,PA,Hughesville
Hulmeville borough,PA,Hulmeville
Hummelstown borough,PA,Hummelstown
Hummels Wharf CDP,PA,Hummels Wharf
Hunker borough,PA,Hunker
Hunterstown CDP,PA,Hunterstown
Huntingdon borough,PA,Huntingdon
Hyde CDP,PA,Hyde
Hyde Park CDP,PA,Hyde Park
Hyde Park borough,PA,Hyde Park
Hydetown borough,PA,Hydetown
Hyndman borough,PA,Hyndman
Idaville CDP,PA,Idaville
Imperial CDP,PA,Imperial
Indiana borough,PA,Indiana
Indian Lake borough,PA,Indian Lake
Indian Mountain Lake CDP,PA,Indian Mountain Lake
Industry borough,PA,Industry
Ingram borough,PA,Ingram
Inkerman CDP,PA,Inkerman
Intercourse CDP,PA,Intercourse
Iola CDP,PA,Iola
Ironville CDP,PA,Ironville
Irvona borough,PA,Irvona
Irwin borough,PA,Irwin
Ivyland borough,PA,Ivyland
Jackson Center borough,PA,Jackson Center
Jacksonville CDP,PA,Jacksonville
Jacksonville CDP,PA,Jacksonville
Jacksonwald CDP,PA,Jacksonwald
Jacobus borough,PA,Jacobus
James City CDP,PA,James City
Jamestown borough,PA,Jamestown
Jamison City CDP,PA,Jamison City
Jeannette city,PA,Jeannette
Jeddo borough,PA,Jeddo
Jefferson borough,PA,Jefferson
Jefferson borough,PA,Jefferson
Jefferson Hills borough,PA,Jefferson Hills
Jenkintown borough,PA,Jenkintown
Jennerstown borough,PA,Jennerstown
Jermyn borough,PA,Jermyn
Jerome CDP,PA,Jerome
Jersey Shore borough,PA,Jersey Shore
Jerseytown CDP,PA,Jerseytown
Jessup borough,PA,Jessup
Jim Thorpe borough,PA,Jim Thorpe
Joffre CDP,PA,Joffre
Johnsonburg borough,PA,Johnsonburg
Johnstown city,PA,Johnstown
Jonestown CDP,PA,Jonestown
Jonestown borough,PA,Jonestown
Jugtown CDP,PA,Jugtown
Julian CDP,PA,Julian
Juniata Gap CDP,PA,Juniata Gap
Juniata Terrace borough,PA,Juniata Terrace
Kane borough,PA,Kane
Kapp Heights CDP,PA,Kapp Heights
Karns City borough,PA,Karns City
Kelayres CDP,PA,Kelayres
Kempton CDP,PA,Kempton
Kenhorst borough,PA,Kenhorst
Kenilworth CDP,PA,Kenilworth
Kenmar CDP,PA,Kenmar
Kennerdell CDP,PA,Kennerdell
Kennett Square borough,PA,Kennett Square
Kerrtown CDP,PA,Kerrtown
Kersey CDP,PA,Kersey
Kimberton CDP,PA,Kimberton
King of Prussia CDP,PA,King of Prussia
Kingston borough,PA,Kingston
Kirkwood CDP,PA,Kirkwood
Kiskimere CDP,PA,Kiskimere
Kistler borough,PA,Kistler
Kittanning borough,PA,Kittanning
Klahr CDP,PA,Klahr
Klingerstown CDP,PA,Klingerstown
Knox borough,PA,Knox
Knoxville borough,PA,Knoxville
Koppel borough,PA,Koppel
Kratzerville CDP,PA,Kratzerville
Kreamer CDP,PA,Kreamer
Kulpmont borough,PA,Kulpmont
Kulpsville CDP,PA,Kulpsville
Kutztown borough,PA,Kutztown
Kutztown University CDP,PA,Kutztown University
Kylertown CDP,PA,Kylertown
Laceyville borough,PA,Laceyville
Laflin borough,PA,Laflin
Lake Arthur Estates CDP,PA,Lake Arthur Estates
Lake City borough,PA,Lake City
Lake Heritage CDP,PA,Lake Heritage
Lake Latonka CDP,PA,Lake Latonka
Lake Meade CDP,PA,Lake Meade
Lakemont CDP,PA,Lakemont
Lake Winola CDP,PA,Lake Winola
Lake Wynonah CDP,PA,Lake Wynonah
Lamar CDP,PA,Lamar
Lampeter CDP,PA,Lampeter
Lancaster city,PA,Lancaster
Landingville borough,PA,Landingville
Landisburg borough,PA,Landisburg
Landisville CDP,PA,Landisville
Lanesboro borough,PA,Lanesboro
Langeloth CDP,PA,Langeloth
Langhorne borough,PA,Langhorne
Langhorne Manor borough,PA,Langhorne Manor
Lansdale borough,PA,Lansdale
Lansdowne borough,PA,Lansdowne
Lansford borough,PA,Lansford
Laporte borough,PA,Laporte
Larke CDP,PA,Larke
Larksville borough,PA,Larksville
Latrobe borough,PA,Latrobe
Lattimer CDP,PA,Lattimer
Laureldale borough,PA,Laureldale
Laurel Mountain borough,PA,Laurel Mountain
Laurel Run borough,PA,Laurel Run
Laurelton CDP,PA,Laurelton
Laurys Station CDP,PA,Laurys Station
Lavelle CDP,PA,Lavelle
Lawnton CDP,PA,Lawnton
Lawrence CDP,PA,Lawrence
Lawrence Park CDP,PA,Lawrence Park
Lawrenceville borough,PA,Lawrenceville
Lawson Heights CDP,PA,Lawson Heights
Leamersville CDP,PA,Leamersville
Lebanon city,PA,Lebanon
Lebanon South CDP,PA,Lebanon South
Leechburg borough,PA,Leechburg
Leeper CDP,PA,Leeper
Leesport borough,PA,Leesport
Leetsdale borough,PA,Leetsdale
Lehighton borough,PA,Lehighton
Leith-Hatfield CDP,PA,Leith-Hatfield
Lemont CDP,PA,Lemont
Lemont Furnace CDP,PA,Lemont Furnace
Lemoyne borough,PA,Lemoyne
Lenape Heights CDP,PA,Lenape Heights
Lenhartsville borough,PA,Lenhartsville
Lenkerville CDP,PA,Lenkerville
Leola CDP,PA,Leola
LeRaysville borough,PA,LeRaysville
Level Green CDP,PA,Level Green
Levittown CDP,PA,Levittown
Lewisberry borough,PA,Lewisberry
Lewisburg borough,PA,Lewisburg
Lewis Run borough,PA,Lewis Run
Lewistown borough,PA,Lewistown
Liberty borough,PA,Liberty
Liberty borough,PA,Liberty
Lightstreet CDP,PA,Lightstreet
Ligonier borough,PA,Ligonier
Lilly borough,PA,Lilly
Lima CDP,PA,Lima
Lime Ridge CDP,PA,Lime Ridge
Lincoln borough,PA,Lincoln
Lincoln Park CDP,PA,Lincoln Park
Lincoln University CDP,PA,Lincoln University
Lincolnville CDP,PA,Lincolnville
Linds Crossing CDP,PA,Linds Crossing
Linesville borough,PA,Linesville
Linglestown CDP,PA,Linglestown
Linntown CDP,PA,Linntown
Linwood CDP,PA,Linwood
Lionville CDP,PA,Lionville
Lititz borough,PA,Lititz
Little Britain CDP,PA,Little Britain
Little Meadows borough,PA,Little Meadows
Littlestown borough,PA,Littlestown
Liverpool borough,PA,Liverpool
Lock Haven city,PA,Lock Haven
Locustdale CDP,PA,Locustdale
Loganton borough,PA,Loganton
Loganville borough,PA,Loganville
Long Branch borough,PA,Long Branch
Longfellow CDP,PA,Longfellow
Loop CDP,PA,Loop
Lorain borough,PA,Lorain
Lorane CDP,PA,Lorane
Loretto borough,PA,Loretto
Lower Allen CDP,PA,Lower Allen
Lower Burrell city,PA,Lower Burrell
Loyalhanna CDP,PA,Loyalhanna
Lucerne Mines CDP,PA,Lucerne Mines
Lumber City CDP,PA,Lumber City
Luzerne borough,PA,Luzerne
Lykens borough,PA,Lykens
Lynnwood-Pricedale CDP,PA,Lynnwood-Pricedale
Lyons borough,PA,Lyons
McAdoo borough,PA,McAdoo
McAlisterville CDP,PA,McAlisterville
McClure borough,PA,McClure
McConnellsburg borough,PA,McConnellsburg
McConnellstown CDP,PA,McConnellstown
McDonald borough,PA,McDonald
McElhattan CDP,PA,McElhattan
McEwensville borough,PA,McEwensville
McGovern CDP,PA,McGovern
McKean borough,PA,McKean
McKeansburg CDP,PA,McKeansburg
McKee CDP,PA,McKee
McKeesport city,PA,McKeesport
McKees Rocks borough,PA,McKees Rocks
McKinley CDP,PA,McKinley
McKnightstown CDP,PA,McKnightstown
McMurray CDP,PA,McMurray
McSherrystown borough,PA,McSherrystown
Macungie borough,PA,Macungie
McVeytown borough,PA,McVeytown
Madison borough,PA,Madison
Madisonburg CDP,PA,Madisonburg
Mahaffey borough,PA,Mahaffey
Mahanoy City borough,PA,Mahanoy City
Mainville CDP,PA,Mainville
Maitland CDP,PA,Maitland
Malvern borough,PA,Malvern
Mammoth CDP,PA,Mammoth
Manchester borough,PA,Manchester
Manheim borough,PA,Manheim
Manns Choice borough,PA,Manns Choice
Manor borough,PA,Manor
Manorville borough,PA,Manorville
Mansfield borough,PA,Mansfield
Maple Glen CDP,PA,Maple Glen
Mapleton borough,PA,Mapleton
Mapletown CDP,PA,Mapletown
Marcus Hook borough,PA,Marcus Hook
Marianna borough,PA,Marianna
Marianne CDP,PA,Marianne
Marienville CDP,PA,Marienville
Marietta borough,PA,Marietta
Marion CDP,PA,Marion
Marion Center borough,PA,Marion Center
Marion Heights borough,PA,Marion Heights
Marklesburg borough,PA,Marklesburg
Markleysburg borough,PA,Markleysburg
Marlin CDP,PA,Marlin
Mars borough,PA,Mars
Marshallton CDP,PA,Marshallton
Marshallton CDP,PA,Marshallton
Martinsburg borough,PA,Martinsburg
Martinsburg Junction CDP,PA,Martinsburg Junction
Martins Creek CDP,PA,Martins Creek
Marysville borough,PA,Marysville
Masontown borough,PA,Masontown
Masthope CDP,PA,Masthope
Matamoras borough,PA,Matamoras
Mather CDP,PA,Mather
Mattawana CDP,PA,Mattawana
Maxatawny CDP,PA,Maxatawny
Mayfield borough,PA,Mayfield
Maytown CDP,PA,Maytown
Meadowlands CDP,PA,Meadowlands
Meadowood CDP,PA,Meadowood
Meadville city,PA,Meadville
Mechanicsburg borough,PA,Mechanicsburg
Mechanicsville borough,PA,Mechanicsville
Media borough,PA,Media
Mercer borough,PA,Mercer
Mercersburg borough,PA,Mercersburg
Meridian CDP,PA,Meridian
Merion Station CDP,PA,Merion Station
Mertztown CDP,PA,Mertztown
Meshoppen borough,PA,Meshoppen
Messiah College CDP,PA,Messiah College
Mexico CDP,PA,Mexico
Meyersdale borough,PA,Meyersdale
Middleburg borough,PA,Middleburg
Middleport borough,PA,Middleport
Middletown borough,PA,Middletown
Middletown CDP,PA,Middletown
Midland borough,PA,Midland
Midway CDP,PA,Midway
Midway borough,PA,Midway
Mifflin borough,PA,Mifflin
Mifflinburg borough,PA,Mifflinburg
Mifflintown borough,PA,Mifflintown
Mifflinville CDP,PA,Mifflinville
Milesburg borough,PA,Milesburg
Milford borough,PA,Milford
Milford Square CDP,PA,Milford Square
Millbourne borough,PA,Millbourne
Mill Creek borough,PA,Mill Creek
Millersburg borough,PA,Millersburg
Millerstown CDP,PA,Millerstown
Millerstown borough,PA,Millerstown
Millersville borough,PA,Millersville
Millerton CDP,PA,Millerton
Mill Hall borough,PA,Mill Hall
Millheim borough,PA,Millheim
Mill Run CDP,PA,Mill Run
Millsboro CDP,PA,Millsboro
Millvale borough,PA,Millvale
Mill Village borough,PA,Mill Village
Millville borough,PA,Millville
Millwood CDP,PA,Millwood
Milroy CDP,PA,Milroy
Milton borough,PA,Milton
Minersville borough,PA,Minersville
Mingoville CDP,PA,Mingoville
Misericordia University CDP,PA,Misericordia University
Mocanaqua CDP,PA,Mocanaqua
Modena borough,PA,Modena
Mohnton borough,PA,Mohnton
Mohrsville CDP,PA,Mohrsville
Monaca borough,PA,Monaca
Monessen city,PA,Monessen
Monongahela city,PA,Monongahela
Monroe borough,PA,Monroe
Monroeville municipality,PA,Monroeville
Mont Alto borough,PA,Mont Alto
Montandon CDP,PA,Montandon
Mont Clare CDP,PA,Mont Clare
Montgomery borough,PA,Montgomery
Montgomeryville CDP,PA,Montgomeryville
Montoursville borough,PA,Montoursville
Montrose borough,PA,Montrose
Montrose Manor CDP,PA,Montrose Manor
Monument CDP,PA,Monument
Moores Mill CDP,PA,Moores Mill
Moose Run CDP,PA,Moose Run
Moosic borough,PA,Moosic
Morea CDP,PA,Morea
Morgan Hill CDP,PA,Morgan Hill
Morgantown CDP,PA,Morgantown
Morrisdale CDP,PA,Morrisdale
Morrisville borough,PA,Morrisville
Morrisville CDP,PA,Morrisville
Morton borough,PA,Morton
Moscow borough,PA,Moscow
Moshannon CDP,PA,Moshannon
Mount Aetna CDP,PA,Mount Aetna
Mountainhome CDP,PA,Mountainhome
Mountain Top CDP,PA,Mountain Top
Mount Carbon borough,PA,Mount Carbon
Mount Carmel borough,PA,Mount Carmel
Mount Cobb CDP,PA,Mount Cobb
Mount Eagle CDP,PA,Mount Eagle
Mount Gretna borough,PA,Mount Gretna
Mount Gretna Heights CDP,PA,Mount Gretna Heights
Mount Holly Springs borough,PA,Mount Holly Springs
Mount Jewett borough,PA,Mount Jewett
Mount Joy borough,PA,Mount Joy
Mount Morris CDP,PA,Mount Morris
Mount Oliver borough,PA,Mount Oliver
Mount Penn borough,PA,Mount Penn
Mount Pleasant borough,PA,Mount Pleasant
Mount Pleasant Mills CDP,PA,Mount Pleasant Mills
Mount Pocono borough,PA,Mount Pocono
Mount Union borough,PA,Mount Union
Mountville borough,PA,Mountville
Mount Wolf borough,PA,Mount Wolf
Muhlenberg Park CDP,PA,Muhlenberg Park
Muir CDP,PA,Muir
Muncy borough,PA,Muncy
Mundys Corner CDP,PA,Mundys Corner
Munhall borough,PA,Munhall
Murrysville municipality,PA,Murrysville
Muse CDP,PA,Muse
Myerstown borough,PA,Myerstown
Nanticoke city,PA,Nanticoke
Nanty-Glo borough,PA,Nanty-Glo
Naomi CDP,PA,Naomi
Narberth borough,PA,Narberth
Nazareth borough,PA,Nazareth
Nealmont CDP,PA,Nealmont
Needmore CDP,PA,Needmore
Nemacolin CDP,PA,Nemacolin
Nescopeck borough,PA,Nescopeck
Nesquehoning borough,PA,Nesquehoning
New Albany borough,PA,New Albany
New Alexandria borough,PA,New Alexandria
New Baltimore borough,PA,New Baltimore
New Beaver borough,PA,New Beaver
New Bedford CDP,PA,New Bedford
New Berlin borough,PA,New Berlin
New Berlinville CDP,PA,New Berlinville
New Bethlehem borough,PA,New Bethlehem
New Boston CDP,PA,New Boston
New Brighton borough,PA,New Brighton
New Britain borough,PA,New Britain
New Buffalo borough,PA,New Buffalo
Newburg CDP,PA,Newburg
Newburg borough,PA,Newburg
Newburg borough,PA,Newburg
New Castle city,PA,New Castle
New Castle Northwest CDP,PA,New Castle Northwest
New Centerville borough,PA,New Centerville
New Columbia CDP,PA,New Columbia
New Columbus borough,PA,New Columbus
New Cumberland borough,PA,New Cumberland
New Eagle borough,PA,New Eagle
Newell borough,PA,Newell
New Florence borough,PA,New Florence
New Freedom borough,PA,New Freedom
New Freeport CDP,PA,New Freeport
New Galilee borough,PA,New Galilee
New Holland borough,PA,New Holland
New Hope borough,PA,New Hope
New Jerusalem CDP,PA,New Jerusalem
New Kensington city,PA,New Kensington
New Kingstown CDP,PA,New Kingstown
New Lebanon borough,PA,New Lebanon
Newmanstown CDP,PA,Newmanstown
New Market CDP,PA,New Market
New Milford borough,PA,New Milford
New Morgan borough,PA,New Morgan
New Oxford borough,PA,New Oxford
New Paris borough,PA,New Paris
New Philadelphia borough,PA,New Philadelphia
Newport borough,PA,Newport
New Ringgold borough,PA,New Ringgold
Newry borough,PA,Newry
New Salem CDP,PA,New Salem
New Salem borough,PA,New Salem
New Schaefferstown CDP,PA,New Schaefferstown
New Stanton borough,PA,New Stanton
Newton Hamilton borough,PA,Newton Hamilton
Newtown borough,PA,Newtown
Newtown CDP,PA,Newtown
Newtown Grant CDP,PA,Newtown Grant
New Tripoli CDP,PA,New Tripoli
Newville borough,PA,Newville
New Washington borough,PA,New Washington
New Wilmington borough,PA,New Wilmington
Nicholson borough,PA,Nicholson
Nittany CDP,PA,Nittany
Nixon CDP,PA,Nixon
Noblestown CDP,PA,Noblestown
Norristown borough,PA,Norristown
Northampton borough,PA,Northampton
North Apollo borough,PA,North Apollo
North Belle Vernon borough,PA,North Belle Vernon
North Bend CDP,PA,North Bend
North Braddock borough,PA,North Braddock
North Catasauqua borough,PA,North Catasauqua
North Charleroi borough,PA,North Charleroi
North East borough,PA,North East
Northern Cambria borough,PA,Northern Cambria
North Irwin borough,PA,North Irwin
North Philipsburg CDP,PA,North Philipsburg
Northumberland borough,PA,Northumberland
North Vandergrift CDP,PA,North Vandergrift
North Wales borough,PA,North Wales
North Warren CDP,PA,North Warren
Northwest Harborcreek CDP,PA,Northwest Harborcreek
Northwood CDP,PA,Northwood
North York borough,PA,North York
Norvelt CDP,PA,Norvelt
Norwood borough,PA,Norwood
Nottingham CDP,PA,Nottingham
Noxen CDP,PA,Noxen
Nuangola borough,PA,Nuangola
Numidia CDP,PA,Numidia
Nuremberg CDP,PA,Nuremberg
Oakdale borough,PA,Oakdale
Oak Hills CDP,PA,Oak Hills
Oakland CDP,PA,Oakland
Oakland CDP,PA,Oakland
Oakland borough,PA,Oakland
Oakmont borough,PA,Oakmont
Oakwood CDP,PA,Oakwood
Oberlin CDP,PA,Oberlin
Ohiopyle borough,PA,Ohiopyle
Ohioville borough,PA,Ohioville
Oil City city,PA,Oil City
Oklahoma CDP,PA,Oklahoma
Oklahoma borough,PA,Oklahoma
Old Forge borough,PA,Old Forge
Old Orchard CDP,PA,Old Orchard
Oley CDP,PA,Oley
Oliver CDP,PA,Oliver
Olivia CDP,PA,Olivia
Olyphant borough,PA,Olyphant
Oneida CDP,PA,Oneida
Orangeville borough,PA,Orangeville
Orbisonia borough,PA,Orbisonia
Orchard Hills CDP,PA,Orchard Hills
Ore Hill CDP,PA,Ore Hill
Oreland CDP,PA,Oreland
Oreminea CDP,PA,Oreminea
Orrstown borough,PA,Orrstown
Orrtanna CDP,PA,Orrtanna
Orviston CDP,PA,Orviston
Orwigsburg borough,PA,Orwigsburg
Orwin CDP,PA,Orwin
Osceola Mills borough,PA,Osceola Mills
Oswayo borough,PA,Oswayo
Oval CDP,PA,Oval
Oxford borough,PA,Oxford
Paint borough,PA,Paint
Palmdale CDP,PA,Palmdale
Palmer Heights CDP,PA,Palmer Heights
Palmerton borough,PA,Palmerton
Palmyra borough,PA,Palmyra
Palo Alto borough,PA,Palo Alto
Paoli CDP,PA,Paoli
Paradise CDP,PA,Paradise
Pardeesville CDP,PA,Pardeesville
Paris CDP,PA,Paris
Park Crest CDP,PA,Park Crest
Parker city,PA,Parker
Parkesburg borough,PA,Parkesburg
Park Forest Village CDP,PA,Park Forest Village
Parkside borough,PA,Parkside
Parkville CDP,PA,Parkville
Parryville borough,PA,Parryville
